t,Bx,By,Ax,Ay
1.031030E1,3.143412E2,-1.574098E1,2.838178E2,7.953034E1
1.034367E1,3.102088E2,-1.200512E1,2.807122E2,8.318051E1
1.037703E1,3.053837E2,-9.060757E0,2.773002E2,8.700253E1
1.041040E1,3.003487E2,-6.028282E0,2.744329E2,9.062712E1
1.044377E1,2.972742E2,-2.375495E0,2.711260E2,9.414773E1
1.047713E1,2.917083E2,8.244023E-1,2.678179E2,9.811477E1
1.051050E1,2.875613E2,4.170838E0,2.645905E2,1.020657E2
1.054387E1,2.836399E2,8.298868E0,2.614811E2,1.057483E2
1.057723E1,2.794165E2,1.162698E1,2.581596E2,1.091022E2
1.061060E1,2.755330E2,1.509266E1,2.551966E2,1.130175E2
1.064397E1,2.714662E2,1.890106E1,2.517807E2,1.169405E2
1.067733E1,2.677025E2,2.182937E1,2.484708E2,1.204912E2
1.071070E1,2.634343E2,2.594328E1,2.450162E2,1.244405E2
1.074407E1,2.597052E2,2.914358E1,2.415339E2,1.277262E2
1.077743E1,2.555517E2,3.237866E1,2.379608E2,1.314481E2
1.081080E1,2.514166E2,3.601707E1,2.344345E2,1.349151E2
1.084417E1,2.472232E2,3.922782E1,2.311859E2,1.385516E2
1.087753E1,2.434002E2,4.283135E1,2.276485E2,1.419721E2
1.091090E1,2.395216E2,4.646941E1,2.245597E2,1.453059E2
1.094427E1,2.355868E2,4.981256E1,2.211582E2,1.486963E2
1.097763E1,2.318880E2,5.326277E1,2.178055E2,1.519654E2
1.101100E1,2.274995E2,5.655361E1,2.147918E2,1.555452E2
1.104437E1,2.233053E2,6.018479E1,2.112967E2,1.585667E2
1.107773E1,2.189453E2,6.318153E1,2.081114E2,1.616237E2
1.111110E1,2.151358E2,6.691811E1,2.047116E2,1.649044E2
1.114447E1,2.103041E2,7.016185E1,2.013755E2,1.679501E2
1.117783E1,2.063061E2,7.286145E1,1.981623E2,1.712423E2
1.121120E1,2.027563E2,7.626577E1,1.946322E2,1.744927E2
1.124457E1,1.981376E2,7.906240E1,1.915100E2,1.772944E2
1.127793E1,1.943214E2,8.224336E1,1.880364E2,1.803634E2
1.131130E1,1.904875E2,8.457599E1,1.848899E2,1.835296E2
1.134467E1,1.858959E2,8.784551E1,1.812971E2,1.864820E2
1.137803E1,1.820701E2,9.056201E1,1.781544E2,1.891802E2
1.141140E1,1.779660E2,9.312122E1,1.746749E2,1.922634E2
1.144477E1,1.742218E2,9.648819E1,1.713668E2,1.951045E2
1.147813E1,1.700420E2,9.880610E1,1.678093E2,1.981516E2
1.151150E1,1.658131E2,1.023328E2,1.646455E2,2.008358E2
1.154487E1,1.619564E2,1.045038E2,1.613086E2,2.034806E2
1.157823E1,1.578004E2,1.071567E2,1.579957E2,2.063891E2
1.161160E1,1.538345E2,1.098272E2,1.544390E2,2.091954E2
1.164497E1,1.500162E2,1.127180E2,1.513538E2,2.117163E2
1.167833E1,1.458332E2,1.154077E2,1.479832E2,2.145690E2
1.171170E1,1.422216E2,1.179511E2,1.449294E2,2.171037E2
1.174507E1,1.385204E2,1.205121E2,1.416450E2,2.198318E2
1.177843E1,1.347903E2,1.228800E2,1.382770E2,2.221721E2
1.181180E1,1.307504E2,1.255669E2,1.352000E2,2.249012E2
1.184517E1,1.267734E2,1.285066E2,1.321665E2,2.272865E2
1.187853E1,1.229090E2,1.310677E2,1.291064E2,2.299811E2
1.191190E1,1.188546E2,1.336057E2,1.261632E2,2.325262E2
1.194527E1,1.149116E2,1.360173E2,1.227898E2,2.351439E2
1.197863E1,1.106569E2,1.384769E2,1.196772E2,2.375426E2
1.201200E1,1.069463E2,1.407405E2,1.163559E2,2.397915E2
1.204537E1,1.031063E2,1.435365E2,1.133194E2,2.420102E2
1.207873E1,9.935611E1,1.454456E2,1.099376E2,2.445473E2
1.211210E1,9.561032E1,1.482829E2,1.070242E2,2.465308E2
1.214547E1,9.163815E1,1.502041E2,1.039089E2,2.488512E2
1.217883E1,8.779215E1,1.531879E2,1.008960E2,2.511215E2
1.221220E1,8.399285E1,1.549973E2,9.743477E1,2.533054E2
1.224557E1,8.001797E1,1.572016E2,9.447583E1,2.554016E2
1.227893E1,7.600314E1,1.595924E2,9.128579E1,2.571808E2
1.231230E1,7.200376E1,1.612625E2,8.818626E1,2.590763E2
1.234567E1,6.802256E1,1.637320E2,8.508138E1,2.611137E2
1.237903E1,6.424853E1,1.655128E2,8.206693E1,2.633157E2
1.241240E1,6.105069E1,1.677150E2,7.922290E1,2.652607E2
1.244577E1,5.696045E1,1.695898E2,7.610061E1,2.669372E2
1.247913E1,5.277123E1,1.714790E2,7.313492E1,2.689557E2
1.251250E1,4.921522E1,1.737861E2,7.011227E1,2.710478E2
1.254587E1,4.543372E1,1.755653E2,6.714390E1,2.722292E2
1.257923E1,4.124297E1,1.772486E2,6.415690E1,2.741202E2
1.261260E1,3.755436E1,1.793559E2,6.092254E1,2.759092E2
1.264597E1,3.348607E1,1.812331E2,5.799625E1,2.776777E2
